# Файлы для аудита обработки ошибок
# Сгенерировано 8 мая 2026
# 147 Python + 60 C++ = 207 файлов

# === Python (147 файлов) ===
[x] termin-app/termin/algeom.py | py | исправлен (добавлен debug лог)
[x] termin-app/termin/editor/inspect_field_panel.py | py | исправлен (debug лог)
[x] termin-app/termin/editor/inspect_registry_viewer.py | py | исправлен (2 debug лога)
[x] termin-app/termin/editor/__main__.py | py | чисто (except в закомментированном коде)
[x] termin-app/termin/editor/material_inspector.py | py | исправлен (2 лога)
[x] termin-app/termin/editor/mesh_inspector.py | py | чисто (ошибка в UI)
[x] termin-app/termin/editor/modules_panel.py | py | чисто
[x] termin-app/termin/editor/pipeline_inspector.py | py | исправлен (2 debug лога)
[x] termin-app/termin/editor/prefab_edit_controller.py | py | чисто (лог через callback)
[x] termin-app/termin/editor/prefab_persistence.py | py | чисто
[x] termin-app/termin/editor/project_browser.py | py | чисто (ошибки в UI)
[x] termin-app/termin/editor/project_file_watcher.py | py | исправлен (1 warn лог)
[x] termin-app/termin/editor/project_settings_dialog.py | py | исправлен (1 debug лог)
[x] termin-app/termin/editor/render_target_inspector.py | py | исправлен (1 debug лог)
[x] termin-app/termin/editor/resource_loader.py | py | чисто
[x] termin-app/termin/editor/rfmeas_bridge.py | py | чисто (ошибки в UI)
[x] termin-app/termin/editor/scene_file_controller.py | py | исправлен (1 debug лог)
[x] termin-app/termin/editor/scene_inspector.py | py | чисто
[x] termin-app/termin/editor/scene_manager_viewer.py | py | исправлен (3 лога)
[x] termin-app/termin/editor/spacemouse_controller.py | py | чисто
[x] termin-app/termin/editor_tcgui/backend_window_manager.py | py | чисто (нет try/except)
[x] termin-app/termin/editor_tcgui/dialogs/core_registry_viewer.py | py | исправлен (6 debug логов)
[x] termin-app/termin/editor_tcgui/dialogs/framegraph_debugger.py | py | чисто
[x] termin-app/termin/editor_tcgui/dialogs/inspect_registry_viewer.py | py | чисто
[x] termin-app/termin/editor_tcgui/dialogs/resource_manager_viewer.py | py | исправлен (1 debug лог)
[x] termin-app/termin/editor_tcgui/dialogs/scene_inspector.py | py | чисто
[x] termin-app/termin/editor_tcgui/dialogs/scene_manager_viewer.py | py | исправлен (1 debug лог)
[x] termin-app/termin/editor_tcgui/display_inspector.py | py | чисто
[x] termin-app/termin/editor_tcgui/editor_window.py | py | чисто
[x] termin-app/termin/editor_tcgui/entity_inspector.py | py | чисто
[x] termin-app/termin/editor_tcgui/glb_inspector.py | py | чисто
[x] termin-app/termin/editor_tcgui/inspect_field_panel.py | py | чисто
[x] termin-app/termin/editor_tcgui/material_inspector.py | py | исправлен (3 debug лога)
[x] termin-app/termin/editor_tcgui/mesh_inspector.py | py | чисто
[x] termin-app/termin/editor_tcgui/modules_panel.py | py | чисто
[x] termin-app/termin/editor_tcgui/pipeline_editor_window.py | py | чисто
[x] termin-app/termin/editor_tcgui/pipeline_inspector.py | py | исправлен (2 debug лога)
[x] termin-app/termin/editor_tcgui/project_browser.py | py | исправлен (1 debug лог)
[x] termin-app/termin/editor_tcgui/render_target_inspector.py | py | чисто
[x] termin-app/termin/editor_tcgui/run_editor.py | py | исправлен (1 debug лог)
[x] termin-app/termin/editor_tcgui/texture_inspector.py | py | чисто
[x] termin-app/termin/editor_tcgui/transform_inspector.py | py | чисто (нет try/except)
[x] termin-app/termin/editor_tcgui/viewport_inspector.py | py | чисто
[x] termin-app/termin/editor_tcgui/viewport_list_widget.py | py | исправлен (1 debug лог)
[x] termin-app/termin/editor_tcgui/widgets/field_widgets.py | py | исправлен (1 debug лог)
[x] termin-app/termin/editor_tcgui/widgets/layer_mask_widget.py | py | исправлен (1 debug лог)
[x] termin-app/termin/editor_tcgui/widgets/texture_picker.py | py | чисто
[x] termin-app/termin/editor_tcgui/window_manager.py | py | чисто (нет try/except)
[x] termin-app/termin/editor/texture_inspector.py | py | исправлен (1 warn лог)
[x] termin-app/termin/editor/transform_inspector.py | py | чисто (try/finally без except)
[x] termin-app/termin/editor/viewport_inspector.py | py | исправлен (1 debug лог)
[x] termin-app/termin/editor/widgets/entity_list_widget.py | py | чисто (нет try/except)
[x] termin-app/termin/editor/widgets/field_widgets.py | py | чисто
[x] termin-app/termin/editor/widgets/generic_list_widget.py | py | чисто (нет try/except)
[x] termin-app/termin/editor/widgets/vec3_list_widget.py | py | чисто (нет try/except)
[x] termin-app/termin/fem/assembler.py | py | чисто (reraise)
[x] termin-app/termin/launcher/app.py | py | исправлен (2 debug лога)
[x] termin-app/termin/launcher/recent.py | py | исправлен (1 debug лог)
[x] termin-app/termin/linalg/solve.py | py | исправлен (1 warning лог)
[x] termin-app/termin/loaders/fbx_instantiator.py | py | чисто (optional import)
[x] termin-app/termin/loaders/fbx_loader.py | py | чисто
[x] termin-app/termin/loaders/mesh_spec.py | py | чисто
[x] termin-app/termin/loaders/stl_loader.py | py | исправлен (1 debug лог)
[x] termin-app/termin/loaders/texture_spec.py | py | чисто
[x] termin-app/termin/log.py | py | чисто (нет try/except)
[x] termin-app/termin/modules/runtime.py | py | чисто
[x] termin-app/termin/nodegraph/compiler.py | py | исправлен (3 debug лога)
[x] termin-app/termin/nodegraph/editor.py | py | исправлен (2 error лога)
[x] termin-app/termin/nodegraph/node.py | py | чисто
[x] termin-app/termin/nodegraph/pass_registry.py | py | чисто
[x] termin-app/termin/player/runtime.py | py | чисто
[x] termin-app/termin/project/settings.py | py | исправлен (1 warning лог)
[x] termin-app/termin/serialization/kind.py | py | чисто (нет try/except)
[x] termin-app/termin/visualization/core/plugin_loader.py | py | исправлен (2 debug лога)
[x] termin-app/termin/visualization/core/prefab_registry.py | py | чисто (нет try/except)
[x] termin-app/termin/visualization/core/property_path.py | py | исправлен (1 debug лог)
[x] termin-app/termin/visualization/core/scene/_helpers.py | py | чисто
[x] termin-app/termin/visualization/platform/backends/sdl_embedded.py | py | чисто
[x] termin-app/termin/visualization/render/drawable.py | py | чисто (нет try/except)
[x] termin-app/termin/visualization/render/framegraph/core.py | py | исправлен (1 debug лог)
[x] termin-app/termin/visualization/render/framegraph/passes/immediate_depth.py | py | чисто (try/finally)
[x] termin-app/termin/visualization/render/framegraph/passes/unified_gizmo.py | py | чисто (try/finally)
[x] termin-app/termin/visualization/render/glsl_preprocessor.py | py | чисто
[x] termin-app/termin/visualization/render/posteffects/material_effect.py | py | чисто
[x] termin-app/termin/visualization/render/postprocess.py | py | чисто
[x] termin-app/termin/visualization/render/shader_skinning.py | py | исправлен (1 error лог)
[x] termin-app/termin/visualization/render/shader_variants.py | py | чисто (нет try/except)
[x] termin-app/termin/voxels/display_component.py | py | чисто
[x] termin-app/termin/voxels/native_voxelizer.py | py | чисто (optional import)
[x] termin-app/termin/voxels/voxelizer_component.py | py | чисто
[x] termin-base/python/tcbase/profiler.py | py | чисто (нет try/except)
[x] termin-build-tools/termin_build/cmake_ext.py | py | исправлен (1 debug лог)
[x] termin-display/python/termin/display/__init__.py | py | исправлен (2 debug лога)
[x] termin-display/python/termin/display/window_manager.py | py | исправлен (1 debug лог)
[x] termin-graphics/python/tgfx/font.py | py | чисто
[x] termin-gui/python/tcgui/widgets/file_dialog_overlay.py | py | исправлен (4 лога)
[x] termin-gui/python/tcgui/widgets/renderer.py | py | чисто (нет try/except)
[x] termin-gui/python/tcgui/widgets/rich_text_view.py | py | исправлен (1 debug лог)
[x] termin-gui/python/tcgui/widgets/shortcuts.py | py | исправлен (1 warning лог)
[x] termin-gui/python/tcgui/widgets/spin_box.py | py | исправлен (1 debug лог)
[x] termin-gui/python/tcgui/widgets/text_area.py | py | чисто (нет try/except)
[x] termin-gui/python/tcgui/widgets/tree.py | py | исправлен (5 debug логов)
[x] termin-gui/python/tcgui/widgets/ui.py | py | исправлен (2 debug лога)
[x] termin-gui/python/tcgui/widgets/viewport3d.py | py | чисто
[x] termin-inspect/python/termin/inspect/inspect_field.py | py | чисто
[x] termin-navmesh/python/termin/navmesh/builder_component.py | py | чисто
[x] termin-navmesh/python/termin/navmesh/pathfinding_world_component.py | py | чисто
[x] termin-navmesh/python/termin/navmesh/registry.py | py | чисто (нет try/except)
[x] termin-navmesh/python/termin/navmesh/settings.py | py | чисто
[x] termin-nodegraph/python/tcnodegraph/__init__.py | py | исправлен (1 debug лог)
[x] termin-nodegraph/python/tcnodegraph/view.py | py | исправлен (2 warning лога)
[x] termin-physics/python/termin/physics/fem_physics_world_component.py | py | исправлен (1 warning лог)

# === C++ (60 файлов) ===
[x] termin-app/cpp/termin/assets/handles_inline.hpp | cpp | чисто (все catch используют tc::Log::warn)
[x] termin-app/cpp/termin/assets/voxel_grid_handle_inline.hpp | cpp | чисто (все catch используют tc::Log::warn)
[x] termin-app/cpp/termin/bindings/geom/common.hpp | cpp | исправлен (1 debug лог в fallback)
[x] termin-app/cpp/termin/bindings/render/render_engine.cpp | cpp | чисто (catch логирует + rethrow)
[x] termin-app/cpp/termin/bindings/render/render_pipeline_bindings.cpp | cpp | чисто (catch логирует + rethrow)
[x] termin-app/cpp/termin/bindings/render/shader_parser.cpp | cpp | чисто (все catch имеют tc::Log::error)
[x] termin-app/cpp/termin/bindings/render/tc_pass_bindings.cpp | cpp | исправлен (2 debug лога в fallback)
[x] termin-app/cpp/termin/bindings/skeleton/skeleton_module.cpp | cpp | исправлен (2 debug лога в fallback)
[x] termin-app/cpp/termin/bindings/tc_value_helpers.hpp | cpp | чисто (catch уже имеет tc_log debug)
[x] termin-app/cpp/termin/editor/gizmo_types.hpp | cpp | чисто (нет try/catch)
[x] termin-app/cpp/termin/editor/transform_gizmo.cpp | cpp | чисто (нет try/catch)
[x] termin-app/cpp/termin/entity/entity_registry.hpp | cpp | чисто (нет try/catch)
[x] termin-app/cpp/termin/geom_bindings.cpp | cpp | исправлен (1 debug лог в fallback)
[x] termin-app/cpp/termin/inspect_bindings.cpp | cpp | исправлен (3 debug лога в fallback)
[x] termin-app/cpp/termin/mesh_bindings.cpp | cpp | чисто (catch уже имеет tc_log_error)
[x] termin-app/cpp/termin/render/shader_parser.cpp | cpp | исправлен (1 debug лог в fallback)
[x] termin-app/cpp/termin/render/shader_parser.hpp | cpp | чисто (нет try/catch)
[x] termin-app/cpp/termin/tc_component_python_bindings.cpp | cpp | чисто (catch имеет tc::Log + PyErr_Print)
[x] termin-base/include/tcbase/tc_value.h | cpp | чисто (C-хедер, нет try/catch)
[x] termin-base/python/bindings/geom/common.hpp | cpp | исправлен (1 debug лог в fallback)
[x] termin-base/python/bindings/tcbase_module.cpp | cpp | чисто (пустой catch - намеренное предотвращение рекурсии)
[x] termin-collision/cpp/bindings/collision_bindings.cpp | cpp | исправлен (1 debug лог в fallback)
[x] termin-components/termin-components-render/components/render_components_bindings.cpp | cpp | чисто (catch уже имеет tc::Log::error)
[x] termin-display/bindings/platform/platform_module.cpp | cpp | исправлен (1 debug лог в fallback)
[x] termin-display/bindings/render/tc_display_bindings.cpp | cpp | чисто (нет try/catch)
[x] termin-display/bindings/render/tc_input_manager_bindings.cpp | cpp | исправлен (6 warn/error логов)
[x] termin-display/bindings/render/tc_render_surface_bindings.cpp | cpp | исправлен (8 debug логов)
[x] termin-display/bindings/viewport/viewport_module.cpp | cpp | чисто (catch уже имеет tc::Log::error)
[x] termin-display/src/platform/offscreen_render_surface.cpp | cpp | чисто (нет try/catch)
[x] termin-graphics/include/tgfx2/vulkan/vulkan_render_device.hpp | cpp | чисто (нет try/catch)
[x] termin-graphics/include/tgfx/resources/tc_shader.h | cpp | чисто (C-хедер, нет try/catch)
[x] termin-inspect/include/inspect/tc_kind_python.hpp | cpp | чисто (нет try/catch)
[x] termin-inspect/include/tc_inspect_cpp.hpp | cpp | чисто (все catch имеют tc_log ERROR)
[x] termin-inspect/python/bindings/inspect_module.cpp | cpp | исправлен (1 debug лог)
[x] termin-inspect/src/tc_inspect_python.cpp | cpp | исправлен (cerr → tc::Log::warn)
[x] termin-lighting/cpp/bindings/lighting_bindings.cpp | cpp | исправлен (2 debug лога)
[x] termin-mesh/python/bindings/mesh_bindings.cpp | cpp | чисто (catch уже имеет tc_log_error)
[x] termin-modules/src/module_cpp_backend.cpp | cpp | исправлен (2 warn лога)
[x] termin-modules/src/module_descriptor_parser.cpp | cpp | чисто (error передан через callback)
[x] termin-render/include/termin/lighting/shadow.hpp | cpp | чисто (нет try/catch)
[x] termin-render/include/termin/render/fbo_pool.hpp | cpp | чисто (декларации, нет try/catch)
[x] termin-render/python/render_framework_bindings.cpp | cpp | исправлен (1 debug лог)
[x] termin-render/python/render_pipeline_bindings.cpp | cpp | чисто (catch уже имеет tc::Log::error)
[x] termin-render/python/scene_pipeline_template_bindings.cpp | cpp | исправлен (1 debug лог)
[x] termin-render/python/tc_pass_bindings.cpp | cpp | чисто (все catch имеют tc_log ERROR)
[x] termin-render/python/tc_render_target_bindings.cpp | cpp | исправлен (1 debug лог)
[x] termin-render/src/scene_pipeline_template.cpp | cpp | чисто (все catch имеют tc::Log::error)
[x] termin-scene/cpp/bindings/component_registry_python.cpp | cpp | чисто (catch уже имеет tc::Log::error)
[x] termin-scene/cpp/bindings/entity_bindings.cpp | cpp | исправлен (3 debug лога)
[x] termin-scene/cpp/bindings/tc_component_python_bindings.cpp | cpp | чисто (все catch имеют tc::Log::error)
[x] termin-scene/cpp/bindings/tc_component_ref_bindings.cpp | cpp | исправлен (2 debug лога)
[x] termin-scene/cpp/bindings/tc_scene_bindings.cpp | cpp | чисто (catch уже имеет tc::Log::error)
[x] termin-scene/cpp/tc_scene.cpp | cpp | чисто (все catch имеют tc::Log::error)
[x] termin-scene/include/tc_type_registry.h | cpp | чисто (C-хедер, нет try/catch)
[x] termin-scene/include/termin/bindings/tc_value_helpers.hpp | cpp | чисто (catch уже имеет tc_log DEBUG)
termin-scene/include/termin/entity/component_registry.hpp | cpp
